"","Player","MLE","hitNum","aveFinal","abFinal","hitFinal","TRUTH"
"1",116380,0.233333333333333,21,0.243792325056433,443,108,0.246458923512748
"2",117244,0.233333333333333,21,0.251101321585903,454,114,0.255494505494505
"3",150229,0.277777777777778,25,0.285115303983228,477,136,0.286821705426357
"4",276055,0.144444444444444,13,0.221359223300971,515,114,0.237647058823529
"5",276545,0.355555555555556,32,0.294478527607362,489,144,0.280701754385965
"6",407489,0.266666666666667,24,0.251764705882353,425,107,0.247761194029851
"7",407812,0.3,27,0.318181818181818,484,154,0.322335025380711
"8",408045,0.3,27,0.330275229357798,436,144,0.338150289017341
"9",408252,0.277777777777778,25,0.273356401384083,578,158,0.272540983606557
"10",430897,0.255555555555556,23,0.251417769376181,529,133,0.250569476082005
"11",434778,0.277777777777778,25,0.290940766550523,574,167,0.293388429752066
"12",435062,0.3,27,0.312775330396476,454,142,0.315934065934066
"13",435063,0.288888888888889,26,0.267080745341615,483,129,0.262086513994911
"14",435522,0.277777777777778,25,0.263157894736842,456,120,0.259562841530055
"15",435625,0.3,27,0.258426966292135,445,115,0.247887323943662
"16",444432,0.322222222222222,29,0.243243243243243,592,144,0.229083665338645
"17",444843,0.244444444444444,22,0.28051391862955,467,131,0.289124668435013
"18",444876,0.3,27,0.24061433447099,586,141,0.229838709677419
"19",445055,0.233333333333333,21,0.286527514231499,527,151,0.297482837528604
"20",452220,0.233333333333333,21,0.26046511627907,430,112,0.267647058823529
"21",453056,0.288888888888889,26,0.30550621669627,563,172,0.308668076109937
"22",453400,0.344444444444444,31,0.338114754098361,488,165,0.336683417085427
"23",457775,0.244444444444444,22,0.256809338521401,514,132,0.259433962264151
"24",458015,0.3,27,0.314946619217082,562,177,0.317796610169492
"25",458731,0.266666666666667,24,0.278937381404175,527,147,0.281464530892448
"26",460086,0.355555555555556,32,0.268921095008052,621,167,0.254237288135593
"27",461235,0.3,27,0.262672811059908,434,114,0.252906976744186
"28",461416,0.244444444444444,22,0.272727272727273,473,129,0.279373368146214
"29",462101,0.266666666666667,24,0.284982935153584,586,167,0.288306451612903
"30",465753,0.255555555555556,23,0.227621483375959,391,89,0.219269102990033
"31",501896,0.222222222222222,20,0.278422273781903,431,120,0.293255131964809
"32",502517,0.3,27,0.292834890965732,642,188,0.291666666666667
"33",516770,0.277777777777778,25,0.255924170616114,633,162,0.252302025782689
"34",518626,0.355555555555556,32,0.310714285714286,560,174,0.302127659574468
"35",519203,0.211111111111111,19,0.241852487135506,583,141,0.247464503042596
"36",543108,0.233333333333333,21,0.258741258741259,429,111,0.265486725663717
"37",543333,0.288888888888889,26,0.315436241610738,596,188,0.320158102766798
"38",543434,0.188888888888889,17,0.263020833333333,384,101,0.285714285714286
"39",571448,0.255555555555556,23,0.279826464208243,461,129,0.285714285714286
"40",592743,0.233333333333333,21,0.260105448154657,569,148,0.265135699373695
